N,P,K,pH,EC,OC,S,Zn,Fe,Cu,Mn,B,Output,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Fertilizer Name,NPK_Distance_Score
138,8.6,560,7.46,0.62,0.7,5.9,0.24,0.31,0.77,8.71,0.11,0,25,50,40,Clayey,Pulses,Urea,98.0745156565847
213,7.5,338,7.62,0.75,1.06,25.4,0.3,0.86,1.54,2.89,2.29,0,25,50,40,Clayey,Pulses,DAP,60.1913081100863
163,9.6,718,7.59,0.51,1.11,14.3,0.3,0.86,1.57,2.7,2.03,0,25,50,40,Clayey,Pulses,14-35-14,126.583596096459
157,6.8,475,7.64,0.58,0.94,26,0.34,0.54,1.53,2.65,1.82,0,25,50,40,Clayey,Pulses,28-28,83.1426730024033
270,9.9,444,7.63,0.4,0.86,11.8,0.25,0.76,1.69,2.43,2.26,1,25,50,40,Clayey,Pulses,Urea,79.8882195683481
220,8.6,444,7.43,0.65,0.72,11.7,0.37,0.66,0.9,2.19,1.82,0,25,50,40,Clayey,Pulses,17-17-17,78.7486597496173
220,7.2,222,7.62,0.43,0.81,7.4,0.34,0.69,1.05,2,1.88,0,30,59,31,Red,Tobacco,20-20,40.9492285592385
207,7,401,7.63,0.59,0.69,7.6,0.32,0.68,0.62,2.43,1.68,0,25,50,40,Clayey,Pulses,Urea,70.9643323683824
289,8.6,560,7.58,0.44,0.67,7.3,0.63,0.66,0.94,2.43,1.79,1,25,50,40,Clayey,Pulses,28-28,100.463241849131
138,8.1,739,7.55,0.33,0.78,9,0.69,0.41,1.15,2.75,2,0,25,50,40,Clayey,Pulses,14-35-14,130.133397122887
151,8.1,549,7.59,0.45,0.97,9.6,0.71,0.38,1.33,2.79,2.41,1,25,50,40,Clayey,Pulses,DAP,96.2499816103071
144,7.2,306,7.53,0.73,0.89,9.2,0.63,0.47,1.03,2.79,2.38,0,25,50,40,Clayey,Pulses,17-17-17,53.0502449280416
138,5.3,444,7.68,0.6,0.78,9.7,0.73,0.36,1.32,3.32,2.12,0,25,50,40,Clayey,Pulses,Urea,77.3755263008321
144,8.3,549,7.45,0.53,0.81,10.2,0.51,0.56,1.26,2.9,2.29,0,25,50,40,Clayey,Pulses,28-28,96.171975098431
201,7.7,676,7.39,0.77,0.72,9.7,0.58,0.47,1.02,3.77,2.56,1,25,50,40,Clayey,Pulses,DAP,119.494175332174
182,9.2,718,7.47,0.34,0.67,10.6,0.77,0.41,1.28,3.04,2.79,0,25,50,40,Clayey,Pulses,17-17-17,126.772710385511
238,7.5,771,7.38,0.88,0.75,11,0.46,0.38,1.16,2.96,1.32,0,25,50,40,Clayey,Pulses,Urea,136.883082705963
270,8.1,655,7.45,0.55,0.67,10.2,0.28,0.44,1.26,7.75,2.56,1,25,50,40,Clayey,Pulses,28-28,116.783649093293
213,6.1,803,7.38,0.78,0.61,10.5,0.3,0.49,0.66,7.74,1.85,0,25,50,40,Clayey,Pulses,Urea,142.292621328516
245,8.1,560,7.31,0.63,0.78,11.6,0.29,0.43,0.57,7.73,0.74,0,25,50,40,Clayey,Pulses,DAP,99.5945960458035
282,8.3,454,7.43,0.62,0.75,11,0.32,0.5,0.81,4.99,2.65,1,25,50,40,Clayey,Pulses,20-20,81.9148321872389
213,8.3,676,7.36,0.51,0.69,23.6,0.28,0.93,1.04,2.17,1.97,0,25,50,40,Clayey,Pulses,17-17-17,119.646610261481
207,9.4,127,7.62,0.68,0.75,27.2,0.28,0.72,1.04,2.43,0.94,0,30,59,31,Red,Tobacco,DAP,25.946000291553
307,8.3,11,7.49,0.84,0.69,15.8,0.26,0.57,0.73,2.13,2.47,1,26,54,33,Black,Oil seeds,Urea,23.0436398653281
